2023-01-24,69,69,69,69,68,68,63,63,86,86,86,71,99,99,99,56,73,73,84,84,72,72,72,107,98,98,98,89,89,99,99,99,72,42,42,
2023-01-26,42,42,42,36,42,42,42,42,53,53,53,98,67,67,67,44,62,62,62,56,56,87,87,87,87,87,103,103,97,64,64,64,72,37,0,
2023-01-27,0,0,0,33,35,35,37,37,62,62,52,52,66,76,76,79,79,79,75,75,75,75,88,85,85,84,54,54,54,56,56,56,56,56,56,47,30,30,30,38,38,59,59,59,75,75,75,48,
2023-01-28,48,48,48,48,53,53,82,82,95,95,81,81,55,38,0,0,0,0,0,0,
2023-01-29,0,0,0,0,0,0,0,0,0,0,0,54,77,77,77,62,62,45,45,65,65,63,63,51,51,41,41,82,82,82,82,82,82,82,82,
2023-01-30,82,82,82,82,82,82,82,82,82,82,82,29,44,44,46,46,46,51,51,51,46,46,46,46,46,49,49,51,45,49,49,49,38,38,10,
2023-01-31,10,10,10,38,38,38,62,65,65,69,75,75,75,62,62,74,74,71,83,83,107,107,101,101,101,98,107,86,86,83,83,57,0,

2023-02-01,88,62,69,69,69,63,58,58,58,82,82,84,85,53,53,77,77,65,65,0,
2023-02-02,0,0,0,36,47,47,51,51,51,64,60,60,66,66,66,34,56,56,56,56,56,72,72,91,91,111,111,99,88,70,70,70,68,68,0,
2023-02-03,0,0,30,30,57,57,47,47,47,49,49,74,76,76,76,68,80,77,79,79,79,69,74,74,74,74,74,75,75,70,70,58,58,43,43,
2023-02-04,43,43,43,22,33,33,44,44,44,55,55,56,60,60,60,68,53,53,53,74,76,76,86,86,86,95,67,67,44,0,0,0,0,0,0,
2023-02-05,0,0,0,0,0,0,0,0,0,0,65,65,58,58,58,61,61,61,56,56,42,42,42,70,70,70,54,46,42,0,0,0,0,0,0,
2023-02-06,0,0,0,0,0,0,0,0,0,0,0,46,50,50,50,50,45,51,51,33,33,58,58,58,49,49,49,45,45,47,47,47,39,39,39,
2023-02-07,39,39,39,39,39,39,39,39,74,74,89,71,71,71,48,71,71,61,61,61,85,85,98,98,85,100,100,97,97,97,97,77,77,77,
2023-02-08,77,77,77,58,58,58,58,58,58,74,74,85,106,106,49,49,49,60,80,80,80,60,60,111,103,103,103,85,90,90,90,62,34,34,
2023-02-09,34,34,34,34,48,48,58,58,62,62,52,52,82,82,82,46,40,40,46,46,65,65,91,91,92,92,83,90,86,74,74,74,66,47,47,
